Unnamed: 0,level_0,index,submission_id,need_state,sub_cluster_init,macro_pillar,created_at,open_text,l1,l2,ontology_codes,tm_needs,needs_from_ontology,needs,location_name,weights,needs list,mood_coded,where_are_you_having_your_food_drink,activities_while_consuming,created_at_grouped,level1_ontology_from_pepsi_bev_3_1,level3_ontology_from_pepsi_bev_3_1,SB_needstates,global_subcluster_number,global_subcluster_name
438,438,438,15832015,Indulge,1.0,Indulge,2021-01-10 14:47:18.105,"[""I brought a box of 24 from supermarket I love the surgery taste I drink this drink daily"", ""I brought a box of 24 from supermarket I love the surgery taste I drink this drink daily"", ""I brought a box of 24 from supermarket I love the surgery taste I drink this drink daily"", ""I brought a box of 24 from supermarket I love the surgery taste I drink this drink daily""]","[""drink"", ""box of 24"", ""had surgery"", ""i usually take it daily""]","[""NOISE""]","[""I like the taste"", ""It's my habit / routine""]","[""NOISE""]","[""Is tasty"", ""It's my habit / routine""]","[""Is tasty"", ""It's my habit / routine""]",UK,0.731935241156495,"['Is tasty', ""It's my habit / routine""]","[""Helpless / hopeless""]",At my home,"[""Relaxing / resting""]",12pm-3pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Treat,20,Relish
439,439,439,15832232,Fuel,3.0,Fuel,2021-01-10 14:58:20.155,"[""i'm thirsty from exercise and i prefer bottled water to tap"", ""i'm thirsty from exercise and i prefer bottled water to tap""]","[""i don't like the taste of tap water"", ""i like to drink it after exercise""]","[""after exercise""]","[""I had a craving""]","[""Gives me a boost / energy""]","[""To indulge""]","[""Gives me a boost / energy""]",UK,0.4269222827418265,['Gives me a boost / energy'],"[""Active / energetic""]",At my home,"[""On my laptop / phone""]",12pm-3pm,"[""Soft drinks""]","[""Unflavoured still water""]",Revive,7,Perk Up
440,440,440,15832334,Health,1.0,Health,2021-01-10 14:59:22.601,"[""Relaxing and refreshing"", ""Relaxing and refreshing""]","[""To refresh"", ""i like to relax in front of""]","[""To refresh""]","[""To feel refreshed / hydrated"", ""To relax / relieve stress / anxiety""]","[""To feel energised / recharged""]","[""To rehydrate my body"", ""To relax & unwind""]","[""To feel energised / recharged""]",UK,0.1211971995332555,['To feel energised / recharged'],"[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",12pm-3pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Revive,14,Enhance
441,441,441,15834923,Health,1.0,Health,2021-01-10 16:24:03.366,"[""I\u2019m having refreshments while I cook dinner"", ""I\u2019m having refreshments while I cook dinner""]","[""having it whilst tea is cooking"", ""in the mood for refreshment""]","[""for refreshment""]","[""To go with other food / drink""]","[""To feel energised / recharged""]","[""Completes my meal""]","[""To feel energised / recharged""]",UK,0.1230641199289798,['To feel energised / recharged'],"[""Anxious / stressed""]",At my home,"[""Cooking""]",3pm-6pm,"[""Soft drinks""]","[""Energy drink""]",Revive,14,Enhance
442,442,442,15835050,Fuel,3.0,Fuel,2021-01-10 16:38:36.812,"[""Thirsty after long walk"", ""Thirsty after long walk""]","[""i was really thirsty"", ""we come from a walk""]","[""i was really thirsty"", ""during/after a walk""]","[""I had a craving""]","[""Gives me a boost / energy"", ""To quench my thirst""]","[""To indulge""]","[""Gives me a boost / energy"", ""To quench my thirst""]",UK,0.316527077984447,"['Gives me a boost / energy', 'To quench my thirst']","[""Relaxed / calm""]",At my home,"[""Cooking""]",3pm-6pm,"[""Soft drinks""]","[""Flavoured still water""]",Revive,39,Revive
443,443,443,15836685,Health,4.0,Health,2021-01-10 21:22:51.586,"[""it is nice to drink hot lemon juice at this cold time"", ""it is nice to drink hot lemon juice at this cold time""]","[""hot lemon juice"", ""Because I am in cold""]","[""I'm cold""]","[""I wanted something cold / refreshing""]","[""Prevents illness / strengthens immunity""]","[""Is refreshing""]","[""Prevents illness / strengthens immunity""]",UK,0.5907782361379085,['Prevents illness / strengthens immunity'],"[""Scared / paranoid""]",At my home,"[""Nothing""]",9pm-12am,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Keeps health balanced,30,Functional Health
444,444,444,15837610,Health,5.0,Health,2021-01-10 18:06:17.701,"[""I like the taste of the fruit juice""]","[""wanted grant juice""]","[""wanted juice""]","[""I like the taste""]","[""Is nutritious / healthy""]","[""Is tasty""]","[""Is nutritious / healthy""]",UK,0.5823823192682748,['Is nutritious / healthy'],"[""Content / upbeat""]",At my home,"[""Relaxing / resting""]",6pm-9pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Supplements my Nutrition,12,Nutrition Rich
445,445,445,15837784,Health,5.0,Health,2021-01-10 18:12:04.717,"[""fancied a cup of tea"", ""fancied a cup of tea""]","[""tea is"", ""what i fancy having""]","[""tea""]","[""I had a craving""]","[""Is nutritious / healthy""]","[""To indulge""]","[""Is nutritious / healthy""]",UK,0.3812520769088112,['Is nutritious / healthy'],"[""Bored""]",At my home,"[""On my laptop / phone""]",6pm-9pm,"[""Hot beverages""]","[""White tea""]",Supplements my Nutrition,12,Nutrition Rich
446,446,446,15839748,Connection,0.0,Connection,2021-01-10 19:21:19.320,"[""my husband made it for me"", ""my husband made it for me""]","[""got a lot of them"", ""with boyfriend""]","[""NOISE""]","[""Someone prepared it for me""]","[""NOISE""]","[""Makes me feel special""]","[""Makes me feel special""]",UK,0.7303724549632516,['Makes me feel special'],"[""Active / energetic""]",At my home,"[""Talking / chatting""]",6pm-9pm,"[""Hot beverages""]","[""Chamomile tea""]",Ease the mood,1,Reward
447,447,447,15840091,Fuel,2.0,Fuel,2021-01-10 19:29:06.011,"[""Always drink tea as don\u2019t like coffee"", ""Always drink tea as don\u2019t like coffee""]","[""always drink tea"", ""didn't want to take water""]","[""NOISE""]","[""It's my habit / routine""]","[""NOISE""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.1592657494368067,"[""It's my habit / routine""]","[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",6pm-9pm,"[""Hot beverages""]","[""White tea""]",Routine,8,Daily Enabler
448,448,448,15841964,Fuel,5.0,Fuel,2021-01-10 20:55:04 +0000,"[""it's in the fridge chilling and I thought I'd have one"", ""it's in the fridge chilling and I thought I'd have one"", ""it's in the fridge chilling and I thought I'd have one""]","[""whilst chilling"", ""i have it here"", ""all i got cold in the fridge""]","[""all i got in the fridge""]","[""To treat myself"", ""I had a craving""]","[""Is readily available""]","[""To reward myself"", ""To indulge""]","[""Is readily available""]",UK,0.3948231114725963,['Is readily available'],"[""Anxious / stressed"", ""Neutral / fine""]",At my home,"[""Relaxing / resting"", ""Watching movies / TV""]",6pm-9pm,"[""Beer""]","[""Pale Lager / Pilsner""]",Routine,9,Easy Fuel
449,449,449,15842078,Fuel,2.0,Fuel,2021-01-10 21:05:33.609,"[""Love a milk coffee before bed"", ""Love a milk coffee before bed""]","[""usually take coffee"", ""before you go to bed""]","[""before you go to bed""]","[""It's my habit / routine""]","[""It's my habit / routine""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.6023239439841194,"[""It's my habit / routine""]","[""Anxious / stressed"", ""Sad / depressed""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Hot beverages""]","[""Latte / cafe au lait""]",Routine,8,Daily Enabler
450,450,450,15843329,Hydrate,1.0,Hydrate,2021-01-10 21:56:49.417,"[""I'm very thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.1211971995332555,['To quench my thirst'],"[""Relaxed / calm""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Refresh,17,Thirst Quench
451,451,451,15844948,Fuel,5.0,Fuel,2021-01-10 23:13:24.068,"[""because it was cold out of the fridge"", ""because it was cold out of the fridge""]","[""Wanted something cold"", ""all i got cold in the fridge""]","[""all i got in the fridge""]","[""I wanted something cold / refreshing""]","[""Is readily available""]","[""Is refreshing""]","[""Is readily available""]",UK,2.37259457472299,['Is readily available'],"[""Relaxed / calm""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Soft drinks""]","[""Flavoured sparkling water""]",Routine,9,Easy Fuel
452,452,452,15845749,Indulge,1.0,Indulge,2021-01-10 23:56:04.109,"[""wanted something refreshing""]","[""chose it because it is refreshing""]","[""wanted something sweet and refreshing""]","[""To feel refreshed / hydrated""]","[""Is tasty""]","[""To rehydrate my body""]","[""Is tasty""]",UK,0.1211971995332555,['Is tasty'],"[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Treat,20,Relish
453,453,453,15847147,Fuel,0.0,Fuel,2021-01-11 01:06:24.167,"[""This drink us lovely and cool just what I needed as a refresher"", ""This drink us lovely and cool just what I needed as a refresher"", ""This drink us lovely and cool just what I needed as a refresher"", ""This drink us lovely and cool just what I needed as a refresher""]","[""lovely"", ""needed something for a drink"", ""cool"", ""in the mood for refreshment""]","[""needed a drink"", ""cool"", ""for refreshment""]","[""I like the taste""]","[""To feel energised / recharged"", ""Is good for cooling down"", ""To indulge""]","[""Is tasty""]","[""To feel energised / recharged"", ""Is good for cooling down"", ""To indulge""]",UK,0.1533795006000404,"['To feel energised / recharged', 'Is good for cooling down', 'To indulge']","[""Relaxed / calm""]",At my home,"[""Listening to a podcast / radio""]",12am-3am,"[""Soft drinks""]","[""Other juice""]",Revive,7,Perk Up
454,454,454,15848150,Hydrate,1.0,Hydrate,2021-01-11 01:59:44 +0000,"[""i was very thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""To feel refreshed / hydrated""]","[""To quench my thirst""]","[""To rehydrate my body""]","[""To quench my thirst""]",UK,0.1238683847687137,['To quench my thirst'],"[""Neutral / fine""]",At my home,"[""Talking / chatting""]",12am-3am,"[""Ready Mixed""]",,Refresh,17,Thirst Quench
455,455,455,15848465,Connection,0.0,Connection,2021-01-11 03:01:21.074,"[""I choose this drink as I was thirsty and wanted something different and unique to drink"", ""I choose this drink as I was thirsty and wanted something different and unique to drink""]","[""this looked unique and independent"", ""have a lot of different jams""]","[""this looked unique and independent""]","[""I like the taste"", ""To try something new / different"", ""I had a craving""]","[""To be unique and different""]","[""Is tasty"", ""To explore something new"", ""To indulge""]","[""To be unique and different""]",UK,0.146752141406512,['To be unique and different'],"[""Overwhelmed"", ""Tired / exhausted""]",At my home,"[""Listening to music""]",3am-6am,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Ease the mood,4,Jolly Time
456,456,456,15855229,Fuel,3.0,Fuel,2021-01-11 09:59:57.805,"[""gets me awake slowly"", ""gets me awake slowly""]","[""not yet very wide awake"", ""slowly getting tired again""]","[""wakes me up""]","[""To boost energy""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy""]",UK,1.2252288031286678,['Gives me a boost / energy'],"[""Relaxed / calm"", ""Tired / exhausted""]",At my home,"[""Checking emails""]",9am-12pm,"[""Hot beverages""]",,Revive,7,Perk Up
457,457,457,15856016,Fuel,1.0,Fuel,2021-01-11 08:50:05.670,"[""like a coffee first thing in the morning it helps wake me up"", ""like a coffee first thing in the morning it helps wake me up"", ""like a coffee first thing in the morning it helps wake me up""]","[""first drink of the day"", ""usually take coffee"", ""it helps wake me up""]","[""NOISE""]","[""To boost energy"", ""It's my habit / routine""]","[""NOISE""]","[""Gives me a boost / energy"", ""It's my habit / routine""]","[""Gives me a boost / energy"", ""It's my habit / routine""]",UK,0.6368882587986666,"['Gives me a boost / energy', ""It's my habit / routine""]","[""Great / amazing""]",At my home,"[""Reading""]",6am-9am,"[""Hot beverages""]",,Revive,7,Perk Up
458,458,458,15857182,Fuel,2.0,Fuel,2021-01-11 09:34:13.389,"[""I always have coffee first thing in the morning but today treated myself to a takeaway one"", ""I always have coffee first thing in the morning but today treated myself to a takeaway one"", ""I always have coffee first thing in the morning but today treated myself to a takeaway one"", ""I always have coffee first thing in the morning but today treated myself to a takeaway one""]","[""usually take coffee"", ""today is one of those days"", ""having a takeaway"", ""took the first""]","[""NOISE""]","[""It's my habit / routine""]","[""NOISE""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.1211971995332555,"[""It's my habit / routine""]","[""Anxious / stressed""]",At my home,"[""Talking / chatting""]",9am-12pm,"[""Hot beverages""]","[""Cappucino""]",Routine,8,Daily Enabler
459,459,459,15858151,Hydrate,1.0,Hydrate,2021-01-12 00:10:11.433,"[""I was thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.1775064652379226,['To quench my thirst'],"[""Sad / depressed""]",At my home,"[""Working""]",12am-3am,"[""Hot beverages""]",,Refresh,17,Thirst Quench
460,460,460,15859773,Indulge,1.0,Indulge,2021-01-11 11:15:58.599,"[""its just something I fancied having with my food""]","[""something i fancied having with my food""]","[""NOISE""]","[""I like the taste"", ""To go with other food / drink""]","[""NOISE""]","[""Is tasty"", ""Completes my meal""]","[""Is tasty"", ""Completes my meal""]",UK,0.3746518462291791,"['Is tasty', 'Completes my meal']","[""Neutral / fine""]",At my home,"[""Browsing social media / internet""]",9am-12pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Treat,20,Relish
461,461,461,15860479,Indulge,4.0,Indulge,2021-01-11 17:36:12 +0000,"[""I just fancied it""]","[""what i fancy having""]","[""NOISE""]","[""I had a craving""]","[""NOISE""]","[""To indulge""]","[""To indulge""]",UK,2.4239439906651112,['To indulge'],"[""Hopeful / optimistic""]",At my home,"[""Studying""]",3pm-6pm,"[""Liqueur""]",,Treat,21,Enjoy
462,462,462,15860854,Fuel,3.0,Fuel,2021-01-11 12:32:59.855,"[""thirsty after the walk"", ""thirsty after the walk""]","[""i was really thirsty"", ""we come from a walk""]","[""i was really thirsty"", ""during/after a walk""]","[""I had a craving""]","[""Gives me a boost / energy"", ""To quench my thirst""]","[""To indulge""]","[""Gives me a boost / energy"", ""To quench my thirst""]",UK,0.2113554448682368,"['Gives me a boost / energy', 'To quench my thirst']","[""Neutral / fine""]",At my home,"[""Browsing social media / internet""]",12pm-3pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Revive,39,Revive
463,463,463,15860996,Fuel,3.0,Fuel,2021-01-11 12:01:51.734,"[""wake up cup of tea"", ""wake up cup of tea""]","[""feel like a wake up"", ""tea is""]","[""tea"", ""wake me up""]","[""It's my habit / routine""]","[""Gives me a boost / energy"", ""Is nutritious / healthy""]","[""It's my habit / routine""]","[""Gives me a boost / energy"", ""Is nutritious / healthy""]",UK,1.4284805626300938,"['Gives me a boost / energy', 'Is nutritious / healthy']","[""Great / amazing""]",At my home,"[""Nothing""]",12pm-3pm,"[""Hot beverages""]","[""Black tea""]",Revive,7,Perk Up
464,464,464,15861174,Hydrate,4.0,Health,2021-01-11 12:05:39.821,"[""Have been drinking coffee all morning and feel a tad dehydrated"", ""Have been drinking coffee all morning and feel a tad dehydrated""]","[""usually take coffee"", ""i’m dehydrated""]","[""NOISE""]","[""To feel refreshed / hydrated""]","[""NOISE""]","[""To rehydrate my body""]","[""To rehydrate my body""]",UK,0.7191394007141537,['To rehydrate my body'],"[""Busy / occupied""]",At my home,"[""Working""]",12pm-3pm,"[""Soft drinks""]","[""Tap water""]",Healthy Hydration Levels,11,Hydrate
465,465,465,15861176,Indulge,4.0,Indulge,2021-01-11 12:07:55.727,"[""it's the only hot drink I have and like"", ""it's the only hot drink I have and like""]","[""while"", ""preferred to drink hot drinks""]","[""craving a hot drink""]","[""I wanted something hot""]","[""To indulge""]","[""Warms me up""]","[""To indulge""]",UK,0.5472989693472604,['To indulge'],"[""Neutral / fine""]",At my home,"[""Watching movies / TV""]",12pm-3pm,"[""Hot beverages""]","[""White tea""]",Treat,21,Enjoy
466,466,466,15861856,Indulge,1.0,Indulge,2021-01-11 12:28:58.382,"[""I like the taste""]","[""has taste""]","[""has taste""]","[""I like the taste""]","[""Is tasty""]","[""Is tasty""]","[""Is tasty""]",UK,0.522153591478937,['Is tasty'],"[""Anxious / stressed""]",At my home,"[""Watching movies / TV""]",12pm-3pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Treat,20,Relish
467,467,467,15862286,Indulge,2.0,Health,2021-01-11 13:56:54.643,"[""I enjoy the taste"", ""I enjoy the taste""]","[""has taste"", ""enjoyed the most""]","[""has taste"", ""because I enjoy it / it's pleasurable""]","[""I like the taste""]","[""Is tasty"", ""To nurture my well-being""]","[""Is tasty""]","[""Is tasty"", ""To nurture my well-being""]",UK,1.9517795782741767,"['Is tasty', 'To nurture my well-being']","[""Content / upbeat"", ""Great / amazing""]",At my home,"[""Relaxing / resting""]",12pm-3pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Keeps health balanced,30,Functional Health
468,468,468,15862383,Health,5.0,Health,2021-01-11 12:49:50.445,"[""I\u2019m feeling a bit cold + I like the taste of green tea"", ""I\u2019m feeling a bit cold + I like the taste of green tea""]","[""tea is"", ""feeling cold""]","[""tea""]","[""I like the taste""]","[""Is nutritious / healthy""]","[""Is tasty""]","[""Is nutritious / healthy""]",UK,0.3699172525220386,['Is nutritious / healthy'],"[""Bored""]",At my home,"[""Listening to a podcast / radio""]",12pm-3pm,"[""Hot beverages""]","[""Green tea""]",Supplements my Nutrition,12,Nutrition Rich
469,469,469,15862976,Health,5.0,Health,2021-01-11 13:11:31.838,"[""I wanted something warm but not tea.  This is a delicious fruity drink"", ""I wanted something warm but not tea.  This is a delicious fruity drink"", ""I wanted something warm but not tea.  This is a delicious fruity drink""]","[""wanted to drink something fresh and fruity"", ""didn't feel like tea or coffee"", ""wanted something warm""]","[""wanted to drink something fresh and fruity""]","[""I like the taste"", ""I wanted something hot""]","[""Is nutritious / healthy""]","[""Is tasty"", ""Warms me up""]","[""Is nutritious / healthy""]",UK,0.1211971995332555,['Is nutritious / healthy'],"[""Neutral / fine""]",At my home,"[""Watching movies / TV""]",12pm-3pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Supplements my Nutrition,12,Nutrition Rich
470,470,470,15863453,Hydrate,1.0,Hydrate,2021-01-11 13:28:38.708,"[""Because I'm thirsty and it was the only avaliable drink"", ""Because I'm thirsty and it was the only avaliable drink""]","[""i was really thirsty"", ""it was the only available drink""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,1.1330493067811618,['To quench my thirst'],"[""Content / upbeat""]",At my home,"[""Talking / chatting""]",12pm-3pm,Dairy / plant-based beverages,,Refresh,17,Thirst Quench
471,471,471,15863705,Hydrate,3.0,Hydrate,2021-01-11 13:47:43.307,"[""just felt like something cold""]","[""Wanted something cold""]","[""NOISE""]","[""I wanted something cold / refreshing""]","[""NOISE""]","[""Is refreshing""]","[""Is refreshing""]",UK,0.1211971995332555,['Is refreshing'],"[""Relaxed / calm""]",At my home,"[""Watching movies / TV""]",12pm-3pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Soothe,16,Revive
472,472,472,15863753,Fuel,2.0,Fuel,2021-01-11 13:45:21.604,"[""2nd drink of the day""]","[""2nd drink of the day""]","[""NOISE""]","[""It's my habit / routine""]","[""NOISE""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.2910791413756308,"[""It's my habit / routine""]","[""Active / energetic""]",At my home,"[""Doing housework / chores""]",12pm-3pm,"[""Hot beverages""]","[""Rooibos tea / red tea""]",Routine,8,Daily Enabler
473,473,473,15865356,Health,0.0,Health,2021-01-11 14:36:08.384,"[""Just finished a meeting and passing Starbucks on my way home"", ""Just finished a meeting and passing Starbucks on my way home""]","[""passed starbucks on the way home"", ""so i wanted to finish it""]","[""NOISE""]","[""Convenient / easy to prepare""]","[""NOISE""]","[""Quick to prepare / drink""]","[""Quick to prepare / drink""]",UK,0.1211971995332555,['Quick to prepare / drink'],"[""Content / upbeat""]",At my home,"[""On my laptop / phone""]",12pm-3pm,"[""Hot beverages""]","[""Hot coffee (unspecified)""]",Keeps health balanced,37,Sure & Easy
474,474,474,15867106,Indulge,2.0,Indulge,2021-01-11 15:36:07.638,"[""I tried it a few weeks ago. It is very tasty, ridiculously thirst quenching and quite cheap."", ""I tried it a few weeks ago. It is very tasty, ridiculously thirst quenching and quite cheap."", ""I tried it a few weeks ago. It is very tasty, ridiculously thirst quenching and quite cheap."", ""I tried it a few weeks ago. It is very tasty, ridiculously thirst quenching and quite cheap.""]","[""reasonable thirst quenching"", ""quite cheap"", ""says that it is very tasty"", ""must try""]","[""it is very tasty"", ""quite cheap"", ""wanted to try it""]","[""Cheap / affordable"", ""I like the taste"", ""I had a craving""]","[""Good value for money"", ""To explore something new"", ""Is tasty""]","[""Good value for money"", ""Is tasty"", ""To indulge""]","[""Good value for money"", ""To explore something new"", ""Is tasty""]",UK,0.1506806210615313,"['Good value for money', 'To explore something new', 'Is tasty']","[""Annoyed / frustrated""]",At my home,"[""Playing games""]",3pm-6pm,"[""Soft drinks""]",,Explore,26,Explore
475,475,475,15867142,Hydrate,1.0,Hydrate,2021-01-11 15:32:01.810,"[""was thirsty but also relaxing with a drink"", ""was thirsty but also relaxing with a drink""]","[""i was really thirsty"", ""i like to relax in front of""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.1211971995332555,['To quench my thirst'],"[""Relaxed / calm""]",At my home,"[""Browsing social media / internet"", ""Relaxing / resting""]",3pm-6pm,"[""Hot beverages""]",,Refresh,17,Thirst Quench
476,476,476,15867412,Fuel,2.0,Fuel,2021-01-11 15:44:14.719,"[""I always have a coffee about this time"", ""I always have a coffee about this time""]","[""usually take coffee"", ""but at this time""]","[""NOISE""]","[""It's my habit / routine""]","[""NOISE""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.3226110479976627,"[""It's my habit / routine""]","[""Neutral / fine""]",At my home,"[""On my laptop / phone""]",3pm-6pm,"[""Hot beverages""]",,Routine,8,Daily Enabler
477,477,477,15867954,Indulge,4.0,Indulge,2021-01-11 16:01:27 +0000,"[""just fancied a beer""]","[""wanted to drink beer""]","[""wanted a beer""]","[""I had a craving""]","[""To indulge""]","[""To indulge""]","[""To indulge""]",UK,0.4050737436529248,['To indulge'],"[""Relaxed / calm""]",At my home,"[""Relaxing / resting""]",3pm-6pm,"[""Beer""]","[""Pale Lager / Pilsner""]",Treat,21,Enjoy
478,478,478,15869358,Fuel,4.0,Fuel,2021-01-11 17:01:50.969,"[""feel like a caffeine boost""]","[""did something with caffeine""]","[""caffeine related""]","[""To boost energy""]","[""Has caffeine""]","[""Gives me a boost / energy""]","[""Has caffeine""]",UK,0.1211971995332555,['Has caffeine'],"[""Content / upbeat""]",At my home,"[""Browsing social media / internet""]",3pm-6pm,"[""Hot beverages""]",,Revive,6,Enhance
479,479,479,15869443,Hydrate,1.0,Hydrate,2021-01-11 17:07:20.644,"[""feeling a bit thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.8575749382611632,['To quench my thirst'],"[""Relaxed / calm""]",At my home,"[""Watching movies / TV""]",3pm-6pm,"[""Soft drinks""]","[""Unflavoured sparkling water""]",Refresh,17,Thirst Quench
480,480,480,15869620,Indulge,4.0,Indulge,2021-01-11 17:13:38.226,"[""I fancied one when I got in from work""]","[""what i fancied having at this time""]","[""NOISE""]","[""I had a craving""]","[""NOISE""]","[""To indulge""]","[""To indulge""]",UK,0.3384649319327502,['To indulge'],"[""Anxious / stressed"", ""Tired / exhausted""]",At my home,"[""Reading""]",3pm-6pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Treat,21,Enjoy
481,481,481,15869722,Fuel,5.0,Fuel,2021-01-11 21:45:46.369,"[""It\u2019s all I had left till I go shopping"", ""It\u2019s all I had left till I go shopping""]","[""all i had left"", ""because we were shopping""]","[""NOISE""]","[""It's the only thing available""]","[""NOISE""]","[""Is readily available""]","[""Is readily available""]",UK,0.9366666789343298,['Is readily available'],"[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Routine,9,Easy Fuel
482,482,482,15870351,Health,1.0,Health,2021-01-11 17:47:30.345,"[""I wanted something that was cold and refreshing"", ""I wanted something that was cold and refreshing""]","[""Wanted something cold"", ""To refresh""]","[""To refresh""]","[""I wanted something cold / refreshing"", ""To feel refreshed / hydrated""]","[""To feel energised / recharged""]","[""Is refreshing"", ""To rehydrate my body""]","[""To feel energised / recharged""]",UK,0.1689941031530337,['To feel energised / recharged'],"[""Content / upbeat""]",At my home,"[""Browsing social media / internet""]",3pm-6pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Revive,14,Enhance
483,483,483,15872429,Hydrate,1.0,Hydrate,2021-01-11 19:17:56.518,"[""Juicy drink to quench my thirst right now"", ""Juicy drink to quench my thirst right now""]","[""bought it to quench my thirst"", ""i quench""]","[""quench my thirst""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.2274324008624877,['To quench my thirst'],"[""Relaxed / calm""]",At my home,"[""Watching movies / TV"", ""Browsing social media / internet""]",6pm-9pm,"[""Soft drinks""]","[""Carbonated juice drink""]",Refresh,17,Thirst Quench
484,484,484,15872451,Hydrate,4.0,Fuel,2021-01-11 19:20:04.766,"[""i always drink water with crisis"", ""i always drink water with crisis""]","[""crisis"", ""decided to take some water""]","[""wanted water""]","[""It's my habit / routine"", ""To feel refreshed / hydrated""]","[""To rehydrate my body""]","[""It's my habit / routine"", ""To rehydrate my body""]","[""To rehydrate my body""]",UK,0.2601039952810672,['To rehydrate my body'],"[""Annoyed / frustrated"", ""Overwhelmed""]",At my home,"[""Browsing social media / internet""]",6pm-9pm,"[""Soft drinks""]",,Revive,39,Revive
485,485,485,15873822,Indulge,6.0,Indulge,2021-01-11 20:15:22.262,"[""just needed to relax""]","[""relaxed""]","[""NOISE""]","[""To relax / relieve stress / anxiety""]","[""NOISE""]","[""To relax & unwind""]","[""To relax & unwind""]",UK,0.2358602017947481,['To relax & unwind'],"[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",6pm-9pm,Hot beverages,,Unwind,25,Comfort
486,486,486,15876497,Indulge,4.0,Indulge,2021-01-11 22:30:29 +0000,"[""I opened it last night and fancied a glass tonight"", ""I opened it last night and fancied a glass tonight""]","[""fancied a glass tonight"", ""opened it yesterday""]","[""NOISE""]","[""I had a craving""]","[""NOISE""]","[""To indulge""]","[""To indulge""]",UK,0.1267916356383222,['To indulge'],"[""Grateful / thankful"", ""Neutral / fine""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Wine""]","[""Chardonnay""]",Treat,21,Enjoy
487,487,487,15877526,Fuel,5.0,Fuel,2021-01-16 09:06:34 +0000,"[""It was in the fridge so is nicely chilled"", ""It was in the fridge so is nicely chilled""]","[""chilled"", ""all i got cold in the fridge""]","[""all i got in the fridge""]","[""I wanted something cold / refreshing""]","[""Is readily available""]","[""Is refreshing""]","[""Is readily available""]",UK,0.2437074108485617,['Is readily available'],"[""Relaxed / calm"", ""Tired / exhausted""]",At my home,"[""Listening to a podcast / radio""]",9am-12pm,"[""Cider / Perry""]",,Routine,9,Easy Fuel
